time,method,parameter,x,y,vx,vy,gap,penetration,lambda_n,complementarity_error,ncp_residual,solver_success,residual_norm
0.039,penalty,1000.0,0.0,0.9923482000000008,0.0,-0.38259,0.9923482000000008,0.0,0.0,0.0,0.0,True,0.0
0.04,penalty,1000.0,0.0,0.9919558000000008,0.0,-0.39239999999999997,0.9919558000000008,0.0,0.0,0.0,0.0,True,0.0
0.041,penalty,1000.0,0.0,0.9915535900000009,0.0,-0.40220999999999996,0.9915535900000009,0.0,0.0,0.0,0.0,True,0.0
0.042,penalty,1000.0,0.0,0.9911415700000009,0.0,-0.41201999999999994,0.9911415700000009,0.0,0.0,0.0,0.0,True,0.0
0.043000000000000003,penalty,1000.0,0.0,0.990719740000001,0.0,-0.4218299999999999,0.990719740000001,0.0,0.0,0.0,0.0,True,0.0
0.044,penalty,1000.0,0.0,0.990288100000001,0.0,-0.4316399999999999,0.990288100000001,0.0,0.0,0.0,0.0,True,0.0
0.045,penalty,1000.0,0.0,0.989846650000001,0.0,-0.4414499999999999,0.989846650000001,0.0,0.0,0.0,0.0,True,0.0
0.046,penalty,1000.0,0.0,0.9893953900000011,0.0,-0.4512599999999999,0.9893953900000011,0.0,0.0,0.0,0.0,True,0.0
0.047,penalty,1000.0,0.0,0.9889343200000011,0.0,-0.46106999999999987,0.9889343200000011,0.0,0.0,0.0,0.0,True,0.0
0.048,penalty,1000.0,0.0,0.9884634400000012,0.0,-0.47087999999999985,0.9884634400000012,0.0,0.0,0.0,0.0,True,0.0
0.049,penalty,1000.0,0.0,0.9879827500000012,0.0,-0.48068999999999984,0.9879827500000012,0.0,0.0,0.0,0.0,True,0.0
0.05,penalty,1000.0,0.0,0.9874922500000013,0.0,-0.4904999999999998,0.9874922500000013,0.0,0.0,0.0,0.0,True,0.0
0.051000000000000004,penalty,1000.0,0.0,0.9869919400000013,0.0,-0.5003099999999998,0.9869919400000013,0.0,0.0,0.0,0.0,True,0.0
