time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,contact_count,contact_force_x,contact_force_y,contact_force_z,contact_torque_x,contact_torque_y,contact_torque_z
0.00050000,0.00000000,2.99999755,0.00000000,0.00000000,-0.00490500,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.01000000,0.00000000,2.99948498,0.00000000,0.00000000,-0.09810000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.02000000,0.00000000,2.99798895,0.00000000,0.00000000,-0.19620000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.03000000,0.00000000,2.99551192,0.00000000,0.00000000,-0.29430000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.04000000,0.00000000,2.99205390,0.00000000,0.00000000,-0.39240000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.05000000,0.00000000,2.98761488,0.00000000,0.00000000,-0.49050000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.06000000,0.00000000,2.98219485,0.00000000,0.00000000,-0.58860000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.07000000,0.00000000,2.97579382,0.00000000,0.00000000,-0.68670000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.08000000,0.00000000,2.96841180,0.00000000,0.00000000,-0.78480000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.09000000,0.00000000,2.96004878,0.00000000,0.00000000,-0.88290000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.10000000,0.00000000,2.95070475,0.00000000,0.00000000,-0.98100000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.11000000,0.00000000,2.94037972,0.00000000,0.00000000,-1.07910000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.12000000,0.00000000,2.92907370,0.00000000,0.00000000,-1.17720000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.13000000,0.00000000,2.91678667,0.00000000,0.00000000,-1.27530000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.14000000,0.00000000,2.90351865,0.00000000,0.00000000,-1.37340000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.15000000,0.00000000,2.88926962,0.00000000,0.00000000,-1.47150000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.16000000,0.00000000,2.87403960,0.00000000,0.00000000,-1.56960000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.17000000,0.00000000,2.85782858,0.00000000,0.00000000,-1.66770000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.18000000,0.00000000,2.84063655,0.00000000,0.00000000,-1.76580000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.19000000,0.00000000,2.82246352,0.00000000,0.00000000,-1.86390000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.20000000,0.00000000,2.80330950,0.00000000,0.00000000,-1.96200000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.21000000,0.00000000,2.78317448,0.00000000,0.00000000,-2.06010000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.22000000,0.00000000,2.76205845,0.00000000,0.00000000,-2.15820000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.23000000,0.00000000,2.73996142,0.00000000,0.00000000,-2.25630000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.24000000,0.00000000,2.71688340,0.00000000,0.00000000,-2.35440000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.25000000,0.00000000,2.69282437,0.00000000,0.00000000,-2.45250000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.26000000,0.00000000,2.66778435,0.00000000,0.00000000,-2.55060000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.27000000,0.00000000,2.64176332,0.00000000,0.00000000,-2.64870000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.28000000,0.00000000,2.61476130,0.00000000,0.00000000,-2.74680000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.29000000,0.00000000,2.58677828,0.00000000,0.00000000,-2.84490000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.30000000,0.00000000,2.55781425,0.00000000,0.00000000,-2.94300000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.31000000,0.00000000,2.52786922,0.00000000,0.00000000,-3.04110000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.32000000,0.00000000,2.49694320,0.00000000,0.00000000,-3.13920000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.33000000,0.00000000,2.46503618,0.00000000,0.00000000,-3.23730000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.34000000,0.00000000,2.43214815,0.00000000,0.00000000,-3.33540000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.35000000,0.00000000,2.39827913,0.00000000,0.00000000,-3.43350000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.36000000,0.00000000,2.36342910,0.00000000,0.00000000,-3.53160000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.37000000,0.00000000,2.32759808,0.00000000,0.00000000,-3.62970000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.38000000,0.00000000,2.29078605,0.00000000,0.00000000,-3.72780000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.39000000,0.00000000,2.25299303,0.00000000,0.00000000,-3.82590000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.40000000,0.00000000,2.21421900,0.00000000,0.00000000,-3.92400000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.41000000,0.00000000,2.17446398,0.00000000,0.00000000,-4.02210000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.42000000,0.00000000,2.13372795,0.00000000,0.00000000,-4.12020000,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
